# 1. Debye-H¨¹ckel B-dot parameters under 0 - 1000 ¡æ and Psat - 5000 bar. Data from Oelkers and Helgeson (1990).


# oC,	Bar,	bdot(kg/mol)*10^2

0.01	0.006	4.1
25	0.032	6.4
50	0.123	7.4
75	0.386	7.7
100	1.013	7.6
125	2.32	7.2
150	4.757	6.5
175	8.918	5.6
200	15.536	4.6
225	25.479	3.3
250	39.736	1.7
275	59.431	-0.3
300	85.838	-2.9
325	120.458	-6.3
350	165.211	-11.4
0	500	5.6
25	500	7.2
50	500	7.8
75	500	8
100	500	7.9
125	500	7.6
150	500	7.1
175	500	6.4
200	500	5.6
225	500	4.6
250	500	3.5
275	500	2.2
300	500	0.6
325	500	-1.1
350	500	-3
375	500	-5.5
400	500	-8.8
425	500	-13.5
450	500	-20.1
0	1000	6.7
25	1000	7.8
50	1000	8.2
75	1000	8.4
100	1000	8.3
125	1000	8
150	1000	7.6
175	1000	7
200	1000	6.4
225	1000	5.7
250	1000	4.8
275	1000	3.9
300	1000	2.8
325	1000	1.7
350	1000	0.4
375	1000	-1.1
400	1000	-2.7
425	1000	-4.6
450	1000	-6.9
475	1000	-9.5
500	1000	-11.2
550	1000	-17
600	1000	-23.7
0	2000	8.3
25	2000	8.7
50	2000	8.9
75	2000	9
100	2000	8.9
125	2000	8.7
150	2000	8.4
175	2000	8
200	2000	7.6
225	2000	7.1
250	2000	6.5
275	2000	5.9
300	2000	5.3
325	2000	4.6
350	2000	3.8
375	2000	2.9
400	2000	2
425	2000	0.9
450	2000	-0.3
475	2000	-1.6
500	2000	-2.7
550	2000	-5.1
600	2000	-7.8
650	2000	-10.8
700	2000	-14.2
750	2000	-17.8
800	2000	-21.6
900	2000	-29.8
1000	2000	-38.1
0	3000	9.2
25	3000	9.3
50	3000	9.4
75	3000	9.5
100	3000	9.4
125	3000	9.2
150	3000	9
175	3000	8.7
200	3000	8.4
225	3000	8.1
250	3000	7.7
275	3000	7.3
300	3000	6.8
325	3000	6.3
350	3000	5.8
375	3000	5.1
400	3000	4.4
425	3000	3.6
450	3000	2.8
475	3000	1.9
500	3000	1.1
550	3000	-0.4
600	3000	-2.1
650	3000	-4
700	3000	-6
750	3000	-8.3
800	3000	-11
900	3000	-16
1000	3000	-22
0	4000	9.7
25	4000	9.7
50	4000	9.8
75	4000	9.9
100	4000	9.8
125	4000	9.7
150	4000	9.6
175	4000	9.4
200	4000	9.1
225	4000	8.9
250	4000	8.6
275	4000	8.3
300	4000	7.9
325	4000	7.6
350	4000	7.1
375	4000	6.6
400	4000	6
425	4000	5.4
450	4000	4.7
475	4000	4
500	4000	3.5
550	4000	2.4
600	4000	1.3
650	4000	0.1
700	4000	-1.3
750	4000	-2.8
800	4000	-4.4
900	4000	-7.8
1000	4000	-11.4
0	5000	9.9
25	5000	10
50	5000	10.2
75	5000	10.3
100	5000	10.3
125	5000	10.2
150	5000	10.1
175	5000	9.9
200	5000	9.8
225	5000	9.6
250	5000	9.3
275	5000	9.1
300	5000	8.8
325	5000	8.5
350	5000	8.1
375	5000	7.7
400	5000	7.2
425	5000	6.6
450	5000	6
475	5000	5.4
500	5000	5.3
550	5000	4.5
600	5000	3.6
650	5000	2.7
700	5000	1.8
750	5000	0.8
800	5000	-0.2
900	5000	-2.5
1000	5000	-4.8
